# This is F1TENTH simulation from 07.11.2022 at time 15:50:32
# Done with git-revision: unknown
#
# Saving: 0.03 s
#
# Controller: Blank-MPPI-0
#
# Data:
time,translational_control,angular_control,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0,LIDAR_1,LIDAR_2,LIDAR_3,LIDAR_4,LIDAR_5,LIDAR_6,LIDAR_7,LIDAR_8,LIDAR_9,LIDAR_10,LIDAR_11,LIDAR_12,LIDAR_13,LIDAR_14,LIDAR_15,LIDAR_16,LIDAR_17,LIDAR_18,LIDAR_19,LIDAR_20,LIDAR_21,LIDAR_22,LIDAR_23,LIDAR_24,LIDAR_25,LIDAR_26,LIDAR_27,LIDAR_28,LIDAR_29,LIDAR_30,LIDAR_31,LIDAR_32,LIDAR_33,LIDAR_34,LIDAR_35,LIDAR_36,LIDAR_37,LIDAR_38,LIDAR_39,LIDAR_40,LIDAR_41,LIDAR_42,LIDAR_43,LIDAR_44,LIDAR_45,LIDAR_46,LIDAR_47,LIDAR_48,LIDAR_49,LIDAR_50,LIDAR_51,LIDAR_52,LIDAR_53,LIDAR_54,LIDAR_55,LIDAR_56,LIDAR_57,LIDAR_58,LIDAR_59,LIDAR_60,LIDAR_61,LIDAR_62,LIDAR_63,LIDAR_64,LIDAR_65,LIDAR_66,LIDAR_67
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.977,29.993,30.004,29.991,30.009,30.011,30.0,30.012,29.987,30.001,30.002,29.969,29.988,30.008,29.995,29.997,30.003,30.0,29.99,30.006,30.018,29.989,30.012,30.005,30.001,30.012,30.015,30.016,29.997,29.99,30.032,30.002,29.989,29.991,29.998,30.003,29.997,29.987,30.011,30.005,30.006,29.998,29.987,29.981,30.001,30.008,29.976,29.998,29.994,30.01,29.998,30.027,29.997,29.997,30.002,30.004,30.008,30.001,29.999,29.985,29.999,30.006,29.998,30.004,29.998,29.996,29.988,30.013
0.03,10.0,0.0,0.003,-0.0,-0.0,0.285,0.0,-0.0,1.0,-0.0,0.0,-0.03,29.989,29.997,30.02,30.001,29.994,30.007,29.999,30.0,30.008,29.993,30.01,30.01,29.982,30.015,30.004,29.995,30.012,29.99,30.001,29.993,29.995,30.001,30.007,29.996,29.986,30.013,29.984,29.991,29.99,29.995,30.021,29.994,29.991,30.005,29.998,29.997,29.995,29.999,29.987,29.997,29.992,29.982,29.998,30.003,29.982,29.987,30.019,29.998,29.982,30.003,29.995,30.004,29.988,29.987,30.009,29.994,29.985,30.002,30.002,29.997,29.998,30.0,30.001,29.99,29.984,30.002,30.002,29.985
0.06,10.0,0.0,0.014,-0.0,-0.001,0.532,0.0,-0.075,1.0,-0.001,-0.001,-0.042,30.005,30.01,30.0,29.992,29.997,30.017,30.007,30.001,29.983,30.01,30.005,29.986,29.99,30.01,30.007,29.999,29.99,30.018,30.006,29.991,30.004,30.003,29.986,29.998,29.996,29.979,30.022,29.994,29.998,30.001,29.989,30.004,30.004,29.989,30.003,29.994,30.003,30.01,30.003,30.011,30.004,29.998,30.0,30.014,29.997,30.002,29.982,29.996,29.994,29.993,29.984,30.006,30.007,30.004,29.99,29.991,30.013,30.001,30.016,30.013,30.005,29.992,29.996,29.995,30.012,29.991,29.987,30.009
0.09,10.0,0.0,0.033,-0.0,-0.004,0.807,0.0,0.007,1.0,-0.004,-0.029,-0.01,29.984,30.002,30.004,30.001,30.01,29.996,29.994,30.004,29.998,30.002,30.002,29.992,30.001,30.016,30.009,30.0,29.996,29.977,30.001,30.005,29.995,30.002,30.005,30.011,30.001,30.005,29.996,30.0,30.016,30.012,29.999,29.996,30.02,30.01,29.985,29.996,29.999,30.003,29.99,30.014,29.999,30.004,30.013,30.014,30.006,30.003,30.007,30.006,29.994,29.997,29.997,29.997,29.995,30.006,29.991,30.002,30.003,30.003,30.001,29.999,30.025,30.003,29.997,29.985,30.026,30.024,29.999,29.996
0.12,10.0,0.0,0.06,-0.001,-0.005,1.027,0.0,0.021,1.0,-0.005,0.0,0.052,29.988,29.989,29.996,29.997,30.014,29.991,30.01,29.977,29.997,30.022,30.008,30.001,30.001,30.0,29.997,29.99,30.009,30.018,29.995,30.008,30.03,29.992,29.999,30.01,30.007,29.996,29.989,29.986,30.013,29.989,30.004,30.01,30.013,30.004,30.006,30.002,30.005,29.994,30.026,29.994,29.983,30.004,29.99,29.995,29.992,30.017,29.985,30.008,29.995,30.008,30.021,30.008,29.989,29.99,29.992,30.003,30.014,30.012,29.992,30.003,30.002,29.977,29.995,30.004,29.985,29.987,30.012,29.99
0.15,10.0,0.0,0.093,-0.001,-0.002,1.312,0.0,0.272,1.0,-0.002,0.027,0.134,29.996,30.005,29.994,30.025,29.995,30.0,30.0,29.988,29.997,29.993,29.984,29.985,29.995,30.018,30.015,30.001,29.978,30.003,30.008,29.992,30.009,29.99,30.013,29.992,29.991,30.023,30.01,30.004,30.002,30.015,29.995,29.991,29.994,30.015,30.01,29.996,30.007,29.999,29.995,29.989,30.008,29.994,30.002,29.994,30.012,30.005,30.018,29.997,30.015,30.007,30.004,29.999,30.018,30.007,29.995,30.006,30.008,30.0,30.015,30.003,30.006,29.998,29.991,30.005,30.008,29.999,30.012,30.006
0.18,10.0,0.0,0.136,0.001,0.008,1.561,0.0,0.419,1.0,0.008,0.038,0.076,30.003,30.016,29.995,30.019,30.001,29.999,30.013,30.004,30.001,29.981,29.989,29.999,30.003,30.026,29.992,30.001,29.997,30.006,29.997,30.007,30.014,29.997,29.987,30.006,30.003,30.003,30.0,30.006,29.979,30.011,30.006,29.979,30.003,29.985,30.008,30.022,29.992,30.006,30.012,29.996,29.986,29.996,29.989,30.005,29.997,29.992,30.012,29.991,30.011,30.021,30.001,30.013,29.998,29.985,30.004,29.992,29.993,30.018,29.993,30.018,29.98,29.991,30.019,30.004,29.994,29.997,29.994,29.997
0.21,10.0,0.0,0.184,0.003,0.019,1.767,0.0,0.375,1.0,0.019,0.031,0.098,30.008,29.99,29.995,30.011,29.997,30.003,30.002,30.0,30.01,30.004,29.989,29.976,29.991,29.987,30.014,30.004,30.003,30.013,29.989,30.008,30.009,29.986,29.996,30.002,29.996,29.996,30.003,29.995,29.998,30.012,30.006,30.006,30.011,30.018,29.986,30.003,30.01,29.999,30.001,30.005,30.008,30.008,29.989,29.978,29.989,30.003,29.995,30.005,30.002,29.994,29.991,29.996,29.995,29.989,29.996,30.002,29.986,30.016,29.996,29.994,30.006,30.002,29.99,29.996,30.009,30.012,29.979,30.02
0.24,10.0,0.0,0.24,0.006,0.032,2.053,0.0,0.486,0.999,0.032,0.032,0.089,30.001,30.007,30.003,29.987,29.985,30.003,29.986,29.996,29.987,29.996,30.018,30.005,29.968,30.005,30.017,30.001,30.011,29.991,29.998,29.981,30.003,30.007,29.999,30.008,30.0,29.989,30.005,29.991,30.008,29.992,29.985,30.009,30.003,29.992,29.998,30.004,29.995,29.998,29.981,30.007,30.005,30.001,29.996,30.002,29.988,30.002,29.994,30.003,30.005,29.993,30.0,30.009,30.008,30.001,30.006,30.002,29.996,30.015,30.0,29.996,30.004,29.993,30.004,29.996,29.998,29.996,29.988,30.016
0.27,10.0,0.0,0.304,0.01,0.048,2.3,0.0,0.534,0.999,0.047,0.029,0.121,29.996,29.981,29.992,29.985,30.016,30.012,29.999,30.003,30.005,30.008,29.999,29.995,30.011,30.007,29.999,30.014,30.002,29.989,29.987,29.988,30.011,30.008,30.007,30.004,29.979,30.001,29.996,30.006,29.993,30.003,30.0,29.988,29.998,29.993,30.002,30.002,30.009,30.008,30.005,29.993,29.988,30.005,30.013,30.004,30.006,29.997,30.03,29.998,29.982,29.993,30.015,30.016,30.019,29.994,30.001,29.988,30.006,30.007,29.981,30.006,30.016,30.0,29.99,30.001,30.006,30.001,30.011,29.996
